Dim_Lojas.Regiao,ID_Produto,total_vendas,qtd_vendas,ticket_medio,clientes_unicos,lojas_unicas,canais_unicos,idade_media_clientes,idade_std_clientes,fidelidade,vendas_por_cliente,vendas_por_loja,ticket_relativo,vendas_relativa_regiao,participacao_lojas,score_produto_regiao,<18,18-25,26-35,36-50,50+,concentracao_vendas_loja
CENTRO AMAZONENSE,146102,199.98,99.0,2.02,1,1,1,37.0,,0.0,99.0,99.0,0.45452066003000136,0.0010696848924404828,0.1,0.18256347021120262,0.0,0.0,0.0,1.0,0.0,
SUDESTE PARAENSE,253398,599.96,299.98,2.0,2,1,1,34.5,4.949747468305833,0.0,149.99,299.98,0.4500204554752489,0.004665032966875748,0.14285714285714285,0.1825288598613016,0.0,0.0,1.0,1.0,0.0,
METROPOLITANA DE FORTALEZA,137309,559.8,279.9,2.0,1,1,1,36.0,,0.0,279.9,279.9,0.4500204554752489,0.0054795389434885095,0.08333333333333333,0.18252733000972082,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,210722,379.98,189.99,2.0,1,1,1,37.0,,0.0,189.99,189.99,0.4500204554752489,0.005381950198476941,0.3333333333333333,0.1824882945117162,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,213052,379.98,189.99,2.0,1,1,1,37.0,,0.0,189.99,189.99,0.4500204554752489,0.005381950198476941,0.3333333333333333,0.1824882945117162,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,213142,379.98,189.99,2.0,1,1,1,32.0,,0.0,189.99,189.99,0.4500204554752489,0.005381950198476941,0.3333333333333333,0.1824882945117162,0.0,0.0,1.0,0.0,0.0,
BAIXO AMAZONAS,225431,379.98,189.99,2.0,1,1,1,35.0,,0.0,189.99,189.99,0.4500204554752489,0.005381950198476941,0.3333333333333333,0.1824882945117162,0.0,0.0,1.0,0.0,0.0,
BAIXO AMAZONAS,225445,379.98,189.99,2.0,1,1,1,31.0,,0.0,189.99,189.99,0.4500204554752489,0.005381950198476941,0.3333333333333333,0.1824882945117162,0.0,0.0,1.0,0.0,0.0,
BAIXO AMAZONAS,256287,379.98,189.99,2.0,1,1,1,37.0,,0.0,189.99,189.99,0.4500204554752489,0.005381950198476941,0.3333333333333333,0.1824882945117162,0.0,0.0,0.0,1.0,0.0,
AGRESTE PERNAMBUCANO,211802,259.98,129.99,2.0,1,1,1,37.0,,0.0,129.99,129.99,0.4500204554752489,0.0052745149913247845,0.2,0.18244532042885533,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,210842,359.98,179.99,2.0,1,1,1,37.0,,0.0,179.99,179.99,0.4500204554752489,0.005098674752480997,0.3333333333333333,0.18237498433331784,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,252274,359.98,179.99,2.0,1,1,1,37.0,,0.0,179.99,179.99,0.4500204554752489,0.005098674752480997,0.3333333333333333,0.18237498433331784,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,241494,359.98,179.99,2.0,1,1,1,41.0,,0.0,179.99,179.99,0.4500204554752489,0.005098674752480997,0.3333333333333333,0.18237498433331784,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,252242,359.98,179.99,2.0,1,1,1,29.0,,0.0,179.99,179.99,0.4500204554752489,0.005098674752480997,0.3333333333333333,0.18237498433331784,0.0,0.0,1.0,0.0,0.0,
BAIXO AMAZONAS,252236,359.98,179.99,2.0,1,1,1,34.0,,0.0,179.99,179.99,0.4500204554752489,0.005098674752480997,0.3333333333333333,0.18237498433331784,0.0,0.0,1.0,0.0,0.0,
